port,train_count,test_count,label_dist,data_count,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5001,558,62,even,less,0.016129032258064516,0.3870967741935484,0.6451612903225806,0.6451612903225806,0.6774193548387096,0.7096774193548387,0.6290322580645161,0.6612903225806451,0.6774193548387096,0.6612903225806451,0.6935483870967742,0.6935483870967742,0.6612903225806451,0.6774193548387096,0.7096774193548387,0.7096774193548387
5002,5952,992,even,more,0.5543478260869565,0.5978260869565217,0.6086956521739131,0.5869565217391305,0.6304347826086957,0.6521739130434783,0.717391304347826,0.6304347826086957,0.717391304347826,0.6630434782608695,0.7065217391304348,0.717391304347826,0.6739130434782609,0.7065217391304348,0.7391304347826086,0.75
5003,5952,992,even,more,0.4782608695652174,0.5434782608695652,0.5434782608695652,0.6413043478260869,0.6195652173913043,0.6521739130434783,0.6521739130434783,0.6847826086956522,0.7717391304347826,0.7282608695652174,0.8043478260869565,0.6847826086956522,0.6739130434782609,0.7391304347826086,0.7717391304347826,0.6956521739130435
5004,5952,992,even,more,0.4891304347826087,0.5108695652173914,0.6195652173913043,0.6304347826086957,0.7065217391304348,0.7282608695652174,0.7391304347826086,0.6086956521739131,0.6847826086956522,0.6304347826086957,0.6195652173913043,0.6195652173913043,0.6739130434782609,0.6630434782608695,0.7065217391304348,0.6630434782608695
5005,5952,992,even,more,0.5217391304347826,0.532608695652174,0.717391304347826,0.6956521739130435,0.6521739130434783,0.6195652173913043,0.7391304347826086,0.7065217391304348,0.717391304347826,0.6956521739130435,0.782608695652174,0.7608695652173914,0.7608695652173914,0.6304347826086957,0.6304347826086957,0.7282608695652174
5006,5952,992,even,more,0.44565217391304346,0.5108695652173914,0.5652173913043478,0.7391304347826086,0.75,0.6739130434782609,0.717391304347826,0.6630434782608695,0.6195652173913043,0.75,0.6413043478260869,0.7608695652173914,0.7717391304347826,0.7391304347826086,0.6739130434782609,0.6304347826086957
5007,5952,992,even,more,0.6195652173913043,0.6739130434782609,0.5652173913043478,0.717391304347826,0.6847826086956522,0.6521739130434783,0.7065217391304348,0.6304347826086957,0.6956521739130435,0.7391304347826086,0.7065217391304348,0.717391304347826,0.7065217391304348,0.6304347826086957,0.7934782608695652,0.6739130434782609
5008,5952,992,even,more,0.6086956521739131,0.5978260869565217,0.6739130434782609,0.5869565217391305,0.6304347826086957,0.6521739130434783,0.6086956521739131,0.6413043478260869,0.6304347826086957,0.75,0.6956521739130435,0.7282608695652174,0.6304347826086957,0.6739130434782609,0.6195652173913043,0.7065217391304348
5009,5952,992,even,more,0.3695652173913043,0.5652173913043478,0.6847826086956522,0.6847826086956522,0.75,0.6847826086956522,0.6413043478260869,0.7391304347826086,0.6739130434782609,0.7391304347826086,0.6956521739130435,0.717391304347826,0.5978260869565217,0.782608695652174,0.717391304347826,0.7282608695652174
5010,5952,992,even,more,0.391304347826087,0.6521739130434783,0.6304347826086957,0.7282608695652174,0.75,0.6739130434782609,0.6086956521739131,0.717391304347826,0.6956521739130435,0.6739130434782609,0.6847826086956522,0.6956521739130435,0.6413043478260869,0.7391304347826086,0.7391304347826086,0.75
